id;image;barcode;name;description;stock;is_stock;inventary_min;price_in;price_out;unit
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 44;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO  SEGUSA T/ 45;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/35;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/36;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/37;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/38;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/39;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/40;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/41;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/42;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/43;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/44;;0;;1;;;2
;;;BOTA CAMPERA CON PUNTA DE ACERO S13-4 EINZ T/45;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/35;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/36;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/37;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/38;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/39;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/40;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/41;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/42;;1;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/43;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/44;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICA  S13-2 EINZ T/45;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/35;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/36;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/37;;1;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/38;;3;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/39;;1;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/40;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/41;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/42;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/43;;0;;1;;;2
;;;BOTA CAMPERA DIELECTRICO WESTALAND T/44;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 35;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 36;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 37;;1;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 38;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 39;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 40;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 41;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 42;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 43;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 44;;0;;1;;;2
;;;BOTA CAMPERA DIELETRICA SEGUSA T/ 45;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO MARRON FAJ  INDUSTRY TALLA 40;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO MOSTAZA  FAJ  INDUSTRY TALLA 40;;1;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/35;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/36;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/37;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/38;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/39;;2;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/40;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/41;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/42;;1;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/43;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/44;;0;;1;;;2
;;;BOTA CAMPERA PUNTA DE ACERO WESTALAND T/45;;0;;1;;;2
;;;BOTA DE JEBE C/ PUNTA REFORZADA AMARILLA TALLA 41;;0;;1;;;2
;;;BOTA DE JEBE C/ PUNTA REFORZADA AMARILLA TALLA 43;;0;;1;;;2
;;;BOTA DE JEBE CON PUN TA DE BAQUELITA NITRO AZUL T/35;;0;;1;;;2
;;;BOTA DE JEBE CON PUN TA DE BAQUELITA NITRO AZUL T/36;;0;;1;;;2
;;;BOTA DE JEBE CON PUN TA DE BAQUELITA NITRO AZUL T/37;;0;;1;;;2
;;;BOTA DE JEBE CON PUN TA DE BAQUELITA NITRO AZUL T/38;;0;;1;;;2
;;;BOTA DE JEBE CON PUNTA DE BAQUELITA NITRO AZUL T/39;;0;;1;;;2
;;;BOTA DE JEBE CON PUNTA DE BAQUELITA NITRO AZUL T/40;;1;;1;;;2
;;;BOTA DE JEBE CON PUNTA DE BAQUELITA NITRO AZUL T/41;;0;;1;;;2
;;;BOTA DE JEBE CON PUNTA DE BAQUELITA NITRO AZUL T/42;;0;;1;;;2
;;;BOTA DE JEBE CON PUNTA DE BAQUELITA NITRO AZUL T/43;;0;;1;;;2
;;;BOTA DE JEBE CON PUNTA DE BAQUELITA NITRO AZUL T/44;;0;;1;;;2
;;;BOTA DE JEBE CON PUNTA DE BAQUELITA NITRO AZUL T/45;;0;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/35;;0;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/36;;0;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/37;;37;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/38;;51;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/39;;10;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/40;;0;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/41;;0;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/42;;0;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/43;;8;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/44;;0;;1;;;2
;;;BOTA DE JEBE EXTREME/PALMERA   T/45;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/35;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/36;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/37;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/38;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/39;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/40;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/41;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/42;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/43;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/44;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA BATA   T/45;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/35;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/36;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/37;;2;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/38;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/39;;1;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/40;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/41;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/42;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/43;;3;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/44;;0;;1;;;2
